name,contry,battingStyle,bowlingStyle,playingRole,indivisual_runs,total_balls,innings,dissmissals,fours,sixes,bat_pos,batting_Avg,str_rate,boundry%,avg_balls,innings_bowled,bow_economy,balls_bowled,wickets,Bow_strike_rate,runs_consided,bow_avg,dots,dot_ball_%,maidens,avg_ball_faced
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,,,,,,,,,,,,3.0,5.833333333333333,72.0,5.0,14.4,70.0,14.0,35.0,48.6,0.0,
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,,,,,,,,,,,,3.0,6.916666666666667,72.0,4.0,18.0,83.0,20.8,33.0,45.8,0.0,
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler,4.0,3.0,1.0,0.0,0.0,0.0,8.0,inf,133.3,0.0,3.0,3.0,9.386666666666667,60.0,3.0,20.0,96.0,32.0,21.0,35.0,0.0,3.0
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,,,,,,,,,,,,3.0,8.81,54.0,2.0,27.0,78.0,39.0,14.0,25.9,0.0,
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,33.0,28.0,3.0,2.0,4.0,0.0,6.0,16.5,117.9,48.5,9.0,3.0,6.916666666666667,60.0,4.0,15.0,67.0,16.8,17.0,28.3,0.0,9.3
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,121.0,106.0,3.0,2.0,16.0,0.0,1.0,60.5,114.2,52.9,35.0,,,,,,,,,,,35.3
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,110.0,77.0,3.0,3.0,10.0,4.0,2.0,36.7,142.9,58.2,26.0,,,,,,,,,,,25.7
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter,32.0,33.0,3.0,3.0,5.0,0.0,3.0,10.7,97.0,62.5,11.0,,,,,,,,,,,11.0
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,66.0,56.0,3.0,3.0,3.0,2.0,4.0,22.0,117.9,36.4,19.0,,,,,,,,,,,18.7
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,48.0,43.0,3.0,3.0,5.0,0.0,5.0,16.0,111.6,41.7,14.0,1.0,11.0,6.0,0.0,inf,11.0,inf,0.0,0.0,0.0,14.3
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,19.0,18.0,2.0,0.0,2.0,0.0,7.0,inf,105.6,42.1,9.0,1.0,9.0,12.0,0.0,inf,18.0,inf,1.0,8.3,0.0,9.0
Evin Lewis,West Indies,Left hand Bat,,Opening Batter,42.0,49.0,3.0,3.0,2.0,1.0,3.0,14.0,85.7,33.3,16.0,,,,,,,,,,,16.3
Brandon King,West Indies,Right hand Bat,,Top order Batter,79.0,63.0,2.0,1.0,9.0,1.0,4.0,79.0,125.4,53.2,32.0,,,,,,,,,,,31.5
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,25.0,29.0,3.0,3.0,0.0,1.0,4.0,8.3,86.2,24.0,10.0,,,,,,,,,,,9.7
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter,4.0,12.0,2.0,2.0,0.0,0.0,6.0,2.0,33.3,0.0,6.0,,,,,,,,,,,6.0
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,39.0,35.0,3.0,3.0,2.0,2.0,6.0,13.0,111.4,51.3,12.0,,,,,,,,,,,11.7
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,16.0,21.0,4.0,2.0,1.0,1.0,11.0,8.0,76.2,62.5,5.0,7.0,6.9399999999999995,162.0,11.0,14.7,189.0,17.2,68.0,42.0,0.0,5.2
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,28.0,31.0,5.0,5.0,1.0,1.0,8.0,5.6,90.3,35.7,6.0,7.0,8.5,144.0,4.0,36.0,212.0,53.0,52.0,36.1,0.0,6.2
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,36.0,33.0,5.0,2.0,1.0,2.0,10.0,18.0,109.1,44.4,7.0,7.0,8.915714285714285,150.0,5.0,30.0,227.0,45.4,46.0,30.7,0.0,6.6
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,126.0,77.0,6.0,5.0,12.0,2.0,5.0,25.2,163.6,47.6,13.0,4.0,9.04,48.0,2.0,24.0,74.0,37.0,17.0,35.4,0.0,12.8
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,7.0,9.0,2.0,1.0,1.0,0.0,9.0,7.0,77.8,57.1,4.0,4.0,8.4575,54.0,3.0,18.0,78.0,26.0,14.0,25.9,0.0,4.5
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,69.0,54.0,5.0,4.0,7.0,1.0,7.0,17.2,127.8,49.3,11.0,7.0,8.20142857142857,141.0,6.0,23.5,185.0,30.8,53.0,37.6,0.0,10.8
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,21.0,20.0,5.0,4.0,0.0,2.0,9.0,5.2,105.0,57.1,4.0,8.0,7.9575,168.0,9.0,18.7,197.0,21.9,89.0,53.0,1.0,4.0
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,13.0,19.0,3.0,2.0,1.0,0.0,10.0,6.5,68.4,30.8,6.0,7.0,8.475714285714286,138.0,4.0,34.5,155.0,38.8,58.0,42.0,1.0,6.3
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,2.0,12.0,4.0,1.0,0.0,0.0,11.0,2.0,16.7,0.0,3.0,7.0,7.571428571428571,156.0,12.0,13.0,199.0,16.6,71.0,45.5,0.0,3.0
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,55.0,41.0,4.0,3.0,6.0,1.0,8.0,18.3,134.1,54.5,10.0,3.0,11.5,30.0,2.0,15.0,59.0,29.5,6.0,20.0,0.0,10.2
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,155.0,137.0,8.0,8.0,14.0,2.0,4.0,19.4,113.1,43.9,17.0,7.0,6.0928571428571425,108.0,5.0,21.6,111.0,22.2,33.0,30.6,0.0,17.1
Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,219.0,148.0,8.0,8.0,16.0,11.0,5.0,27.4,148.0,59.4,18.0,8.0,6.885,144.0,10.0,14.4,156.0,15.6,46.0,31.9,0.0,18.5
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,45.0,64.0,8.0,8.0,5.0,1.0,3.0,5.6,70.3,57.8,8.0,,,,,,,,,,,8.0
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,112.0,125.0,7.0,7.0,13.0,0.0,2.0,16.0,89.6,46.4,18.0,,,,,,,,,,,17.9
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,106.0,83.0,8.0,7.0,15.0,2.0,2.0,15.1,127.7,67.9,10.0,2.0,8.0,18.0,0.0,inf,25.0,inf,1.0,5.6,0.0,10.4
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,65.0,82.0,7.0,6.0,5.0,0.0,5.0,10.8,79.3,30.8,12.0,,,,,,,,,,,11.7
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,101.0,97.0,7.0,4.0,11.0,2.0,7.0,25.2,104.1,55.4,14.0,3.0,10.0,30.0,0.0,inf,48.0,inf,6.0,20.0,0.0,13.9
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,170.0,127.0,7.0,6.0,16.0,6.0,1.0,28.3,133.9,58.8,18.0,,,,,,,,,,,18.1
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,153.0,123.0,7.0,7.0,10.0,9.0,2.0,21.9,124.4,61.4,18.0,,,,,,,,,,,17.6
Lorcan Tucker,Ireland,Right hand Bat,,Wicketkeeper Batter,204.0,163.0,7.0,5.0,19.0,4.0,3.0,40.8,125.2,49.0,23.0,,,,,,,,,,,23.3
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,68.0,75.0,6.0,6.0,4.0,1.0,4.0,11.3,90.7,32.4,12.0,,,,,,,,,,,12.5
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,100.0,83.0,6.0,5.0,10.0,1.0,6.0,20.0,120.5,46.0,14.0,4.0,7.25,48.0,1.0,48.0,56.0,56.0,15.0,31.2,0.0,13.8
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,,1.0,2.0,9.995000000000001,36.0,1.0,36.0,60.0,60.0,7.0,19.4,0.0,1.0
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,33.3,0.0,3.0,1.0,8.0,18.0,1.0,18.0,24.0,24.0,5.0,27.8,0.0,3.0
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,131.0,113.0,7.0,5.0,9.0,2.0,4.0,26.2,115.9,36.6,16.0,1.0,8.0,6.0,0.0,inf,8.0,inf,1.0,16.7,0.0,16.1
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,69.0,54.0,2.0,2.0,6.0,3.0,2.0,34.5,127.8,60.9,27.0,,,,,,,,,,,27.0
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,7.0,10.0,2.0,2.0,1.0,0.0,4.0,3.5,70.0,57.1,5.0,,,,,,,,,,,5.0
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,4.0,5.0,1.0,1.0,1.0,0.0,11.0,4.0,80.0,100.0,5.0,6.0,7.608333333333333,121.0,7.0,17.3,153.0,21.9,60.0,49.6,0.0,5.0
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,,,,,,,,,,,,3.0,7.0,53.0,2.0,26.5,65.0,32.5,23.0,43.4,0.0,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,25.0,24.0,1.0,0.0,1.0,1.0,9.0,inf,104.2,40.0,24.0,1.0,5.5,24.0,0.0,inf,22.0,inf,10.0,41.7,0.0,24.0
Ahmed Raza,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler,,,,,,,,,,,,1.0,9.0,6.0,0.0,inf,9.0,inf,1.0,16.7,0.0,
Alishan Sharafu,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,4.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,,,,,,,,,,,4.0
Zane Green,Namibia,Left hand Bat,,Wicketkeeper Batter,2.0,3.0,1.0,1.0,0.0,0.0,8.0,2.0,66.7,0.0,3.0,,,,,,,,,,,3.0
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,4.0,7.0,1.0,1.0,0.0,0.0,9.0,4.0,57.1,0.0,7.0,3.0,8.5,72.0,3.0,24.0,102.0,34.0,29.0,40.3,1.0,7.0
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,1.0,1.0,1.0,0.0,0.0,0.0,11.0,inf,100.0,0.0,1.0,4.0,8.25,90.0,5.0,18.0,124.0,24.8,42.0,46.7,0.0,1.0
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,21.0,20.0,2.0,2.0,2.0,1.0,8.0,10.5,105.0,66.7,10.0,4.0,8.25,96.0,3.0,32.0,132.0,44.0,46.0,47.9,0.0,10.0
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,126.0,78.0,4.0,3.0,7.0,9.0,5.0,42.0,161.5,65.1,20.0,4.0,9.25,54.0,1.0,54.0,87.0,87.0,8.0,14.8,0.0,19.5
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,1.0,3.0,2.0,1.0,0.0,0.0,10.0,1.0,33.3,0.0,2.0,3.0,6.666666666666667,72.0,5.0,14.4,80.0,16.0,24.0,33.3,0.0,1.5
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,,,,,,,,,,,,5.0,7.4,120.0,8.0,15.0,148.0,18.5,56.0,46.7,0.0,
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,5.0,3.0,2.0,0.0,1.0,0.0,8.0,inf,166.7,80.0,2.0,5.0,6.266,104.0,7.0,14.9,114.0,16.3,52.0,50.0,1.0,1.5
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,27.0,16.0,3.0,1.0,0.0,2.0,7.0,27.0,168.8,44.4,5.0,5.0,6.45,120.0,9.0,13.3,129.0,14.3,49.0,40.8,0.0,5.3
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,,,,,,,,,,,,5.0,8.282,114.0,7.0,16.3,159.0,22.7,43.0,37.7,0.0,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,7.0,7.0,2.0,1.0,0.0,0.0,8.0,7.0,100.0,0.0,4.0,5.0,6.709999999999999,116.0,6.0,19.3,130.0,21.7,43.0,37.1,0.0,3.5
Finn Allen,New Zealand,Right hand Bat,,Top order Batter,95.0,51.0,5.0,5.0,11.0,5.0,1.0,19.0,186.3,77.9,10.0,,,,,,,,,,,10.2
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,145.0,124.0,5.0,4.0,12.0,2.0,2.0,36.2,116.9,41.4,25.0,,,,,,,,,,,24.8
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,178.0,153.0,5.0,5.0,11.0,5.0,3.0,35.6,116.3,41.6,31.0,,,,,,,,,,,30.6
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,201.0,127.0,5.0,5.0,19.0,8.0,4.0,40.2,158.3,61.7,25.0,,,,,,,,,,,25.4
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,53.0,37.0,5.0,3.0,2.0,2.0,6.0,17.7,143.2,37.7,7.0,,,,,,,,,,,7.4
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,44.0,41.0,4.0,4.0,6.0,0.0,1.0,11.0,107.3,54.5,10.0,,,,,,,,,,,10.2
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,107.0,97.0,3.0,2.0,6.0,5.0,2.0,53.5,110.3,50.5,32.0,,,,,,,,,,,32.3
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,106.0,81.0,4.0,4.0,8.0,6.0,3.0,26.5,130.9,64.2,20.0,1.0,14.0,6.0,0.0,inf,14.0,inf,1.0,16.7,0.0,20.2
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,118.0,73.0,4.0,3.0,11.0,6.0,4.0,39.3,161.6,67.8,18.0,2.0,5.73,19.0,3.0,6.3,19.0,6.3,8.0,42.1,0.0,18.2
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,26.0,18.0,2.0,1.0,2.0,1.0,6.0,26.0,144.4,53.8,9.0,,,,,,,,,,,9.0
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,15.0,15.0,3.0,2.0,2.0,0.0,7.0,7.5,100.0,53.3,5.0,,,,,,,,,,,5.0
